"filename", "language", "JSON with Comments", "TypeScript", "TypeScript JSX", "XML", "Markdown", "CSS", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 43, 0, 0, 0, 0, 0, 0, 6, 49
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\select.tsx", "TypeScript JSX", 0, 0, 146, 0, 0, 0, 0, 0, 0, 15, 161
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 27, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\sonner.tsx", "TypeScript JSX", 0, 0, 26, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\switch.tsx", "TypeScript JSX", 0, 0, 25, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\table.tsx", "TypeScript JSX", 0, 0, 107, 0, 0, 0, 0, 0, 0, 11, 118
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 48, 0, 0, 0, 0, 0, 0, 8, 56
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\toast.tsx", "TypeScript JSX", 0, 0, 117, 0, 0, 0, 0, 0, 0, 14, 131
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\toaster.tsx", "TypeScript JSX", 0, 0, 32, 0, 0, 0, 0, 0, 0, 4, 36
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\ui\use-toast.ts", "TypeScript", 0, 160, 0, 0, 0, 0, 0, 0, 3, 32, 195
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\lib\utils.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\middleware.ts", "TypeScript", 0, 56, 0, 0, 0, 0, 0, 0, 2, 8, 66
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\tailwind.config.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 12, 4, 50
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\tsconfig.json", "JSON with Comments", 27, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"Total", "-", 30, 496, 8542, 2, 23, 176, 8, 10373, 1824, 1232, 22706
